time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-04-13T07:44:28.190Z,19.0971,-64.4308,96,2.98,md,12,327,1.831,0.36,pr,pr2019103009,2019-04-13T14:31:09.886Z,"77km NNE of Road Town, British Virgin Islands",earthquake,5.66,10.13,0.25,7,reviewed,pr,pr
2019-04-13T07:34:53.140Z,19.192,-64.3108,44,3.15,md,13,328,1.9805,0.37,pr,pr2019103008,2019-04-13T14:30:37.382Z,"91km NNE of Road Town, British Virgin Islands",earthquake,3.99,22.86,0.33,8,reviewed,pr,pr
2019-04-13T07:34:46.070Z,54.1878,166.1786,10,4.4,mb,,155,4.633,0.67,us,us700035bg,2019-04-13T07:51:05.040Z,"112km S of Nikol'skoye, Russia",earthquake,13.8,2,0.078,47,reviewed,us,us
2019-04-13T07:14:29.554Z,26.2901,129.5245,10,4.9,mww,,60,1.246,1.04,us,us700035be,2019-04-13T07:30:33.040Z,"157km ESE of Nago, Japan",earthquake,6.1,1.8,0.08,15,reviewed,us,us
2019-04-13T07:11:00.923Z,26.1984,129.5337,10,4.9,mww,,57,1.296,0.73,us,us700035bf,2019-04-13T07:25:17.040Z,"161km ESE of Nago, Japan",earthquake,6.2,1.9,0.068,21,reviewed,us,us
2019-04-13T07:08:13.893Z,26.1982,129.5472,10,4.9,mww,,67,1.306,1.5,us,us700035bb,2019-04-13T07:21:13.040Z,"162km ESE of Nago, Japan",earthquake,6.1,1.9,0.071,19,reviewed,us,us
2019-04-13T05:26:14.678Z,-1.8184,122.6027,10,4.8,mb,,36,0.789,1,us,us700035af,2019-04-13T05:43:21.040Z,"98km SSW of Luwuk, Indonesia",earthquake,2.8,1.9,0.084,44,reviewed,us,us
2019-04-13T04:23:27.612Z,-1.876,122.6464,10,4.5,mb,,68,0.838,0.9,us,us700035a1,2019-04-13T04:42:10.040Z,"103km S of Luwuk, Indonesia",earthquake,5.3,1.9,0.136,16,reviewed,us,us
2019-04-13T03:43:57.176Z,-1.3571,-77.7363,179.09,4.8,mb,,130,1.737,0.67,us,us7000359x,2019-04-13T15:40:48.209Z,"30km ENE of Puyo, Ecuador",earthquake,9.1,7.3,0.027,418,reviewed,us,us
2019-04-13T02:29:49.540Z,-1.7272,122.6459,35,4.2,mb,,91,0.692,1.28,us,us7000359z,2019-04-13T04:24:11.040Z,"87km S of Luwuk, Indonesia",earthquake,4.4,2,0.176,9,reviewed,us,us
